,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet Text,Tweets Ago
47,0.659,Wed Sep 26 15:03:05 +0000 2018,0.597,0.0,@BBC,0.403,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",48
48,-0.25,Wed Sep 26 14:04:00 +0000 2018,0.917,0.083,@BBC,0.0,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",49
49,0.0,Wed Sep 26 14:03:03 +0000 2018,1.0,0.0,@BBC,0.0,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",50
50,-0.1027,Wed Sep 26 13:04:06 +0000 2018,0.59,0.229,@BBC,0.181,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",51
51,0.0,Wed Sep 26 12:32:03 +0000 2018,1.0,0.0,@BBC,0.0,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,52
52,0.0,Wed Sep 26 12:30:08 +0000 2018,1.0,0.0,@BBC,0.0,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",53
53,0.0,Wed Sep 26 11:02:01 +0000 2018,1.0,0.0,@BBC,0.0,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",54
54,0.3182,Wed Sep 26 10:46:44 +0000 2018,0.874,0.0,@BBC,0.126,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,55
55,0.0,Wed Sep 26 10:04:04 +0000 2018,1.0,0.0,@BBC,0.0,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",56
56,0.0,Wed Sep 26 09:53:51 +0000 2018,1.0,0.0,@BBC,0.0,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,57
57,0.0,Wed Sep 26 09:04:04 +0000 2018,1.0,0.0,@BBC,0.0,"Discover the ancient volcanoes along Scotland’s west coast... 😮🌋

https://t.co/kEPUuvtDN3",58
58,0.4767,Wed Sep 26 08:04:03 +0000 2018,0.479,0.168,@BBC,0.353,How to help a friend who's struggling with mental health. https://t.co/X9PwihsgH9 https://t.co/0lUMrtmb1j,59
